Format Version,1.23,Take Name,Take 2022-07-12 04.02.52 PM,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2022-07-12 04.02.52.994 PM,Capture Start Frame,1871939,Total Frames in Take,8731,Total Exported Frames,8731,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
31,0.086111,-0.556948,0.491063,0.418819,-0.522739,1.806244,1.042449,1.429880,0.001201,1.812549,0.934891,1.510009,0.838861,1.822616,0.960321,1.328366,0.783890,1.935337,1.062938,1.435833,0.868821,1.669247,1.021977,1.425960,0.443666,1.798625,1.128096,1.535839,0.949446,1.799089,1.146472,1.343275,0.353377,1.812654,0.935291,1.509993,1.822766,0.959997,1.327720,1.934866,1.062494,1.435889,1.671681,1.022287,1.425778,1.798602,1.128237,1.535710,1.797901,1.146807,1.345222
32,0.088889,-0.558008,0.488375,0.418759,-0.524173,1.803781,1.042979,1.430377,0.001325,1.810917,0.935320,1.510301,0.896436,1.820256,0.961111,1.328669,0.815513,1.932783,1.064142,1.435944,0.837315,1.666882,1.021788,1.426868,0.384897,1.796055,1.128405,1.536507,0.951782,1.795792,1.147109,1.343974,0.423615,1.810558,0.935689,1.510220,1.820322,0.960103,1.328036,1.932663,1.064522,1.435873,1.669593,1.022265,1.425932,1.796185,1.128352,1.536271,1.795687,1.147246,1.345613
33,0.091667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.094444,-0.560371,0.486659,0.418734,-0.523268,1.800176,1.043767,1.430463,0.001321,1.807602,0.935743,1.509866,0.798540,1.817047,0.962456,1.328374,0.725963,1.929097,1.065352,1.436276,0.856163,1.663356,1.022115,1.426700,0.401282,1.792037,1.128644,1.537002,0.907383,1.791918,1.148291,1.344563,0.528153,1.806899,0.936064,1.510096,1.817228,0.961756,1.327550,1.928893,1.065860,1.436098,1.665693,1.022390,1.426254,1.792303,1.128447,1.536835,1.791348,1.148094,1.346352
35,0.097222,-0.562047,0.484789,0.418972,-0.523015,1.798095,1.043930,1.430532,0.001278,1.805919,0.935627,1.509516,0.875384,1.815172,0.963067,1.328121,0.749278,1.926948,1.065913,1.436354,0.879415,1.661344,1.021846,1.426763,0.345467,1.789740,1.128370,1.537399,0.924339,1.789445,1.148755,1.345037,0.564489,1.805621,0.935946,1.509275,1.815296,0.962256,1.327545,1.926519,1.066133,1.436383,1.663845,1.022453,1.426281,1.789948,1.128513,1.537232,1.789093,1.148608,1.346737
36,0.100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0.102778,-0.563615,0.482917,0.420456,-0.521868,1.794144,1.044272,1.430727,0.001393,1.802183,0.935511,1.509057,0.000000,1.811188,0.964038,1.327818,0.823556,1.922979,1.066364,1.436525,0.869054,1.657413,1.022058,1.426991,0.313895,1.785824,1.128067,1.538104,0.854477,1.785275,1.149593,1.345867,0.551398,1.806758,0.932811,1.505013,1.811473,0.963643,1.327307,1.922679,1.065992,1.436313,1.660045,1.022710,1.426566,1.785707,1.128609,1.537928,1.784638,1.149763,1.347536
38,0.105556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0.108333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0.111111,-0.567060,0.477736,0.419906,-0.523346,1.788408,1.045765,1.431468,0.001324,1.797902,0.936651,1.509142,0.000000,1.805986,0.966315,1.328042,0.783367,1.917012,1.069239,1.436970,0.898758,1.651918,1.022072,1.428053,0.370920,1.779529,1.128847,1.539354,0.907318,1.778100,1.151467,1.347247,0.682347,,,,1.805775,0.965695,1.327474,1.916684,1.069477,1.436967,1.653949,1.023258,1.427161,1.779398,1.129162,1.539209,1.778177,1.151087,1.348457
